Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Ov05,HT_Odd_Un05,FT_Odd_Ov15,FT_Odd_Un15,FT_Odd_Ov25,FT_Odd_Un25,FT_Odd_BTTS_Y,FT_Odd_BTTS_N,Prob_H,Prob_D,Prob_A,Prob_Ov05_HT,Prob_Un05_HT,Prob_Ov15_FT,Prob_Un15_FT,Prob_Ov25_FT,Prob_Un25_FT,Prob_BTTS_Y_FT,Prob_BTTS_N_FT,H_D,H_A,D_H,D_A,A_H,A_D,Dif_Abs_HomeAway,Dif_Abs_HomeDraw,Dif_Abs_DrawAway,Angle_HomeAway,Angle_HomeDraw,Angle_DrawAway,Dif_Perc_HomeAway,Dif_Perc_HomeDraw,Dif_Perc_DrawAway,CV_Match_Odds,CV_Match_Type,Media_Ptos_Home,CV_Media_Ptos_Home,Media_Ptos_Away,CV_Media_Ptos_Away,Media_Saldo_Golos_Home,Media_Saldo_Golos_Away,Media_Golos_Marcados_Home,CV_Media_Golos_Marcados_Home,Media_Golos_Marcados_Away,CV_Media_Golos_Marcados_Away,Media_Golos_Sofridos_Home,CV_Media_Golos_Sofridos_Home,Media_Golos_Sofridos_Away,CV_Media_Golos_Sofridos_Away,Media_CG_01_Marcados_Home,CV_Media_CG_01_Marcados_Home,Media_CG_01_Marcados_Away,CV_Media_CG_01_Marcados_Away,Media_CG_01_Sofridos_Home,CV_Media_CG_01_Sofridos_Home,Media_CG_01_Sofridos_Away,CV_Media_CG_01_Sofridos_Away,Media_CG_02_Marcados_Home,CV_Media_CG_02_Marcados_Home,Media_CG_02_Marcados_Away,CV_Media_CG_02_Marcados_Away,Media_CG_02_Sofridos_Home,CV_Media_CG_02_Sofridos_Home,Media_CG_02_Sofridos_Away,CV_Media_CG_02_Sofridos_Away,Media_Shots_Home,CV_Media_Shots_Home,Media_Shots_Away,CV_Media_Shots_Away,Media_Shots_Against_Home,CV_Media_Shots_Against_Home,Media_Shots_Against_Away,CV_Media_Shots_Against_Away,Media_Shots_per_Goal_Home,CV_Media_Shots_per_Goal_Home,Media_Shots_per_Goal_Away,CV_Media_Shots_per_Goal_Away,Media_Shots_per_Goal_Against_Home,CV_Media_Shots_per_Goal_Against_Home,Media_Shots_per_Goal_Against_Away,CV_Media_Shots_per_Goal_Against_Away,Media_Shots_On_Target_Home,CV_Media_Shots_On_Target_Home,Media_Shots_On_Target_Away,CV_Media_Shots_On_Target_Away,Media_Shots_On_Target_Against_Home,CV_Media_Shots_On_Target_Against_Home,Media_Shots_On_Target_Against_Away,CV_Media_Shots_On_Target_Against_Away,Media_Shots_On_Target_per_Goal_Home,CV_Media_Shots_On_Target_per_Goal_Home,Media_Shots_On_Target_per_Goal_Away,CV_Media_Shots_On_Target_per_Goal_Away,Media_Shots_On_Target_per_Goal_Against_Home,CV_Media_Shots_On_Target_per_Goal_Against_Home,Media_Shots_On_Target_per_Goal_Against_Away,CV_Media_Shots_On_Target_per_Goal_Against_Away,Media_Goal_Attempts_Home,CV_Media_Goal_Attempts_Home,Media_Goal_Attempts_Away,CV_Media_Goal_Attempts_Away,Media_Goal_Attempts_Against_Home,CV_Media_Goal_Attempts_Against_Home,Media_Goal_Attempts_Against_Away,CV_Media_Goal_Attempts_Against_Away,Media_Goal_Attempts_per_Goal_Home,CV_Media_Goal_Attempts_per_Goal_Home,Media_Goal_Attempts_per_Goal_Away,CV_Media_Goal_Attempts_per_Goal_Away,Media_Goal_Attempts_per_Goal_Against_Home,CV_Media_Goal_Attempts_per_Goal_Against_Home,Media_Goal_Attempts_per_Goal_Against_Away,CV_Media_Goal_Attempts_per_Goal_Against_Away,Media_Corners_Home,CV_Media_Corners_Home,Media_Corners_Away,CV_Media_Corners_Away,Media_Corners_Against_Home,CV_Media_Corners_Against_Home,Media_Corners_Against_Away,CV_Media_Corners_Against_Away,Media_Ball_Possession_Home,CV_Media_Ball_Possession_Home,Media_Ball_Possession_Away,CV_Media_Ball_Possession_Away,Media_Ball_Possession_Against_Home,CV_Media_Ball_Possession_Against_Home,Media_Ball_Possession_Against_Away,CV_Media_Ball_Possession_Against_Away,Media_RPS_MO_Home,CV_Media_RPS_MO_Home,Media_RPS_MO_Away,CV_Media_RPS_MO_Away,Media_RPS_OvUn_Home,CV_Media_RPS_OvUn_Home,Media_RPS_OvUn_Away,CV_Media_RPS_OvUn_Away,Media_RPS_BTTS_Home,CV_Media_RPS_BTTS_Home,Media_RPS_BTTS_Away,CV_Media_RPS_BTTS_Away,Media_Prob_Home,CV_Media_Prob_Home,Media_Prob_Away,CV_Media_Prob_Away,Poisson_0_GM_Home,Poisson_1_GM_Home,Poisson_2_GM_Home,Poisson_3_GM_Home,Poisson_4_GM_Home,Poisson_0_GM_Away,Poisson_1_GM_Away,Poisson_2_GM_Away,Poisson_3_GM_Away,Poisson_4_GM_Away,Poisson_0_GS_Home,Poisson_1_GS_Home,Poisson_2_GS_Home,Poisson_3_GS_Home,Poisson_4_GS_Home,Poisson_0_GS_Away,Poisson_1_GS_Away,Poisson_2_GS_Away,Poisson_3_GS_Away,Poisson_4_GS_Away,Probabilidade_Goals_Scored_Home,Probabilidade_Goals_Scored_Away,Probabilidade_Goals_Taken_Home,Probabilidade_Goals_Taken_Away,Media_Power_Ranking_Home,CV_Media_Power_Ranking_Home,Media_Power_Ranking_Away,CV_Media_Power_Ranking_Away,Media_First_Goal_Home,Media_First_Goal_Away,Media_First_Goal_Taken_Home,Media_First_Goal_Taken_Away,Perc_Scored_1_Goal_1st_Half_Home,Perc_Scored_1_Goal_1st_Half_Away,Perc_Took_1_Goal_1st_Half_Home,Perc_Took_1_Goal_1st_Half_Away,Perc_Scored_1_Goal_FT_Home,Perc_Scored_1_Goal_FT_Away,Perc_Took_1_Goal_FT_Home,Perc_Took_1_Goal_FT_Away,Perc_Scored_at_least_1_Goal_Home,Perc_Scored_at_least_1_Goal_Away,Perc_Took_at_least_1_Goal_Home,Perc_Took_at_least_1_Goal_Away,Perc_of_Games_BTTS_Yes_Home,Perc_of_Games_BTTS_Yes_Away,Perc_Over_05_HT_Home,Perc_Over_05_HT_Away,Perc_Under_05_HT_Home,Perc_Under_05_HT_Away,Perc_Over_15_HT_Home,Perc_Over_15_HT_Away,Perc_Under_15_HT_Home,Perc_Under_15_HT_Away,Perc_Over_15_FT_Home,Perc_Over_15_FT_Away,Perc_Under_15_FT_Home,Perc_Under_15_FT_Away,Perc_Over_25_FT_Home,Perc_Over_25_FT_Away,Perc_Under_25_FT_Home,Perc_Under_25_FT_Away,Perc_Wins_HT_Home,Perc_Wins_HT_Away,Perc_Wins_FT_Home,Perc_Wins_FT_Away
1,AUSTRALIA - A-LEAGUE,2025-01-01,05:00,Auckland FC,Melbourne Victory,2.2,3.5,3.2,1.36,3.0,1.29,3.75,1.88,1.98,1.67,2.05,0.45454545454545453,0.2857142857142857,0.3125,0.7353,0.3333,0.7752,0.2667,0.5319,0.5051,0.5988,0.4878,0.6286,0.6875,1.5909,1.0938,1.4545,0.9143,1.0,1.3,0.3,26.5651,33.0239,-8.5308,0.3125,0.3714,0.0937,0.2111,Balanced Game,,,1.3931,0.8397,,0.109,,,1.4535,0.8385,,,1.3445,0.7035,,,3.189,0.0524,,,2.9626,0.2441,,,0.972,0.0601,,,0.8931,0.135,,,0.1213,22.2984,,,0.6097,5.1087,,,-0.3202,-1.9051,,,0.2368,9.391,,,0.0236,118.661,,,-0.3227,-5.1484,,,-0.1623,-6.3173,,,-0.0263,-58.8175,,,1.861,3.6004,,,1.2673,4.0948,,,0.1009,17.5173,,,1.079,3.956,,,0.0751,37.9361,,,0.1719,16.5497,,,7.8449,2.6147,,,8.9501,2.5237,,,0.357,0.0471,,,0.6153,0.0317,,,0.4278,0.0587,,,0.4704,0.0419,,,,,,0.2338,0.3398,0.2469,0.1196,0.0435,,,,,,0.2607,0.3505,0.2356,0.1056,0.0355,,1.4996,,1.3418,,,151.2467,0.2583,,31.58,,48.63,,31.58,,26.32,,47.37,,36.84,,47.37,,36.84,,73.68,,57.89,,42.11,,31.58,,68.42,,84.21,,26.32,,52.63,,47.37,,26.32,,31.58
2,AUSTRALIA - A-LEAGUE,2025-01-01,08:00,WS Wanderers,Macarthur FC,2.1,4.0,3.0,1.25,3.75,1.14,5.5,1.41,2.7,1.44,2.63,0.47619047619047616,0.25,0.3333333333333333,0.8,0.2667,0.8772,0.1818,0.7092,0.3704,0.6944,0.3802,0.525,0.7,1.9048,1.3333,1.4286,0.75,0.9,1.9,1.0,24.2277,43.5312,-26.5651,0.3,0.475,0.3333,0.2645,Balanced Game,0.8909,1.5379,1.5102,0.9199,-0.0516,-0.2187,1.8664,0.7676,1.5045,0.6014,1.918,0.7341,1.7232,0.7452,3.9289,0.0351,6.3029,0.0873,3.9331,0.1748,7.2872,0.1009,1.227,0.0513,0.8904,0.0979,1.1217,0.1398,0.9957,0.1759,0.9481,3.6403,-0.3847,-4.0496,0.2798,10.0533,0.5297,7.3544,0.2307,8.5245,-0.193,-4.8104,0.4386,4.3639,0.2983,6.5934,0.5309,5.5208,-0.0278,-91.6871,0.3333,8.9067,0.1977,13.043,0.0728,19.5687,0.0175,78.7829,0.307,4.4143,0.193,8.6021,2.9491,2.4409,1.1688,4.2719,3.1434,2.2173,2.5121,3.2785,1.0597,3.2918,0.7018,4.1929,1.3728,2.7112,1.7456,3.1003,0.5323,4.8443,-0.0009,-2778.1111,-0.1465,-10.3877,-0.0071,-341.4507,12.2718,1.9462,7.5178,2.7009,10.4739,1.8454,9.1131,2.5229,0.3075,0.0472,0.3791,0.0823,0.7956,0.0989,0.9299,0.0989,0.4192,0.1023,0.4075,0.1124,0.5066,0.0343,0.2546,0.0208,0.1547,0.2887,0.2694,0.1676,0.0782,0.2221,0.3342,0.2514,0.1261,0.0474,0.1469,0.2818,0.2702,0.1727,0.0828,0.1785,0.3076,0.265,0.1522,0.0656,1.9889,1.2252,1.7783,1.4358,184.6431,0.2549,152.2371,0.4507,35.47,34.63,20.74,35.16,36.84,31.58,47.37,36.84,47.37,52.63,47.37,42.11,47.37,52.63,47.37,42.11,68.42,73.68,84.21,68.42,15.79,31.58,52.63,36.84,47.37,63.16,94.74,94.74,15.79,10.53,78.95,78.95,21.05,21.05,36.84,31.58,31.58,42.11
3,ENGLAND - CHAMPIONSHIP,2025-01-01,13:30,Plymouth,Bristol City,4.1,3.8,1.8,1.36,3.0,1.25,4.0,1.76,1.96,1.73,2.0,0.24390243902439027,0.2631578947368421,0.5555555555555556,0.7353,0.3333,0.8,0.25,0.5682,0.5102,0.578,0.5,1.0789,2.2778,0.9268,2.1111,0.439,0.4737,2.3,0.3,2.0,-48.9909,-8.5308,-45.0,1.2778,0.0789,1.1111,0.4026,Unbalanced Game,1.3686,0.9806,1.1484,1.0819,-0.1653,-0.4332,1.2226,0.9382,1.062,0.8878,1.3879,0.6449,1.4952,0.8151,4.4425,0.1275,3.7501,0.0822,5.1077,0.1166,5.166,0.0495,0.7812,0.2565,0.655,0.069,0.8339,0.0721,0.9182,0.075,1.7593,1.8877,1.876,1.9486,0.997,3.1755,1.5151,2.203,1.1053,1.9082,1.0175,2.4835,1.0351,2.2743,1.1535,1.7295,1.853,1.8953,1.7152,1.7756,1.1085,3.1189,1.6045,1.9709,1.0702,1.9653,0.8947,2.3458,1.1228,2.1436,1.1009,1.7189,5.9085,1.3695,6.3309,1.3775,5.726,1.3965,6.9496,1.2172,3.4211,1.572,3.2719,1.8607,3.9123,1.6137,4.0307,1.5013,1.5649,2.1518,2.5062,1.7894,2.0019,2.1575,2.2398,1.4906,22.7219,1.1949,23.6247,1.079,21.528,1.1822,29.0485,1.001,0.3385,0.0759,0.3465,0.0664,0.6254,0.0179,0.4611,0.0184,0.5253,0.0455,0.5331,0.021,0.2993,0.1637,0.31,0.0158,0.2945,0.36,0.2201,0.0897,0.0274,0.3458,0.3672,0.195,0.069,0.0183,0.2496,0.3464,0.2404,0.1112,0.0386,0.2242,0.3352,0.2506,0.1249,0.0467,1.3885,1.0159,1.4939,1.5423,195.3963,0.2668,151.1164,0.3258,31.53,27.79,40.89,34.68,21.05,21.05,36.84,42.11,36.84,47.37,63.16,47.37,36.84,47.37,63.16,47.37,52.63,47.37,57.89,63.16,42.11,36.84,15.79,26.32,84.21,73.68,100.0,94.74,31.58,15.79,47.37,47.37,52.63,52.63,21.05,21.05,36.84,26.32
4,ENGLAND - CHAMPIONSHIP,2025-01-01,13:30,QPR,Watford,2.6,3.3,2.62,1.44,2.63,1.33,3.4,2.03,1.83,1.8,1.91,0.3846153846153846,0.30303030303030304,0.38167938931297707,0.6944,0.3802,0.7519,0.2941,0.4926,0.5464,0.5556,0.5236,0.7879,0.9924,1.2692,1.2595,1.0077,0.7939,0.02,0.7,0.68,0.5729,19.29,-18.778,0.0076,0.2121,0.2595,0.106,Balanced Game,1.2929,0.9665,0.7764,1.5417,0.0933,-0.6409,1.4786,0.6842,1.2246,1.2044,1.3853,0.8408,1.8655,0.7053,4.1133,0.1225,5.0245,0.1147,3.6848,0.1895,7.6331,0.2072,0.8886,0.0945,0.7499,0.0665,0.8886,0.0643,1.0394,0.1333,2.9819,1.4952,1.6553,1.7652,1.5667,1.7333,1.4435,2.9353,2.1886,1.6157,0.8158,2.6339,0.7982,2.4117,1.6842,1.3847,2.7831,1.3368,1.2811,2.1933,1.5248,1.8846,1.2647,2.767,2.6009,1.3421,0.5526,2.8719,0.886,2.0626,1.4605,1.4026,8.7161,1.1666,4.8616,1.2351,5.2982,1.1584,8.2404,1.1275,7.5395,1.3231,2.1491,2.059,2.7456,1.7232,4.7456,1.2839,3.4358,1.3533,1.9536,1.6932,2.8216,1.2961,3.0706,1.394,28.302,0.9295,25.9654,1.042,31.1661,0.8866,25.1798,1.0303,0.3463,0.0681,0.2818,0.0589,0.4558,0.0327,0.5694,0.0639,0.4882,0.0361,0.4958,0.0234,0.4088,0.0641,0.2893,0.0639,0.228,0.3371,0.2492,0.1228,0.0454,0.2939,0.3599,0.2204,0.0899,0.0275,0.2502,0.3467,0.2401,0.1109,0.0384,0.1548,0.2888,0.2694,0.1675,0.0781,1.4068,1.3093,1.4068,1.8883,198.0656,0.2646,131.9259,0.3308,30.47,27.47,23.95,23.32,42.11,21.05,31.58,47.37,47.37,31.58,47.37,57.89,47.37,31.58,47.37,57.89,63.16,52.63,73.68,68.42,26.32,31.58,47.37,31.58,52.63,68.42,94.74,89.47,10.53,36.84,52.63,57.89,47.37,42.11,21.05,15.79,31.58,21.05
5,ENGLAND - CHAMPIONSHIP,2025-01-01,14:00,Millwall,Oxford Utd,1.63,3.75,5.0,1.5,2.5,1.44,2.75,2.25,1.57,2.2,1.62,0.6134969325153374,0.26666666666666666,0.2,0.6667,0.4,0.6944,0.3636,0.4444,0.6369,0.4545,0.6173,0.4347,0.326,2.3006,0.75,3.0675,1.3333,3.37,2.12,1.25,59.3121,46.6683,32.0054,0.674,0.5653,0.25,0.5034,Unbalanced Game,1.7036,0.8265,0.7204,1.6342,0.0798,-0.754,1.0018,0.9923,0.9563,1.0964,0.922,1.1933,1.7103,0.7388,2.7859,0.1541,3.7328,0.1021,2.4178,0.2687,7.3962,0.0385,0.7534,0.0941,0.6979,0.0769,0.6481,0.1907,0.9084,0.0552,2.1648,1.5731,1.6536,1.8053,1.7915,1.5037,0.7691,4.7332,1.2719,2.0089,0.7763,2.9532,0.9605,2.0203,1.2789,1.6918,1.5382,1.9799,1.2364,2.008,1.5967,1.563,0.9674,4.5065,1.3421,1.955,0.4079,3.7404,1.0307,2.0822,1.6035,1.738,5.9791,1.2298,4.8417,1.3265,4.8156,1.1838,8.9251,1.1399,3.7456,1.4967,2.1974,2.2329,3.0658,1.6067,4.5509,1.4546,2.4886,1.5786,1.6122,1.7525,2.7038,1.4494,3.5457,1.4288,22.3543,1.0676,23.6675,1.0339,31.1076,0.9688,29.4257,0.9973,0.3151,0.0273,0.2561,0.0758,0.3406,0.0578,0.5195,0.0533,0.5211,0.0361,0.4699,0.0251,0.4015,0.0371,0.2906,0.1125,0.3672,0.3679,0.1843,0.0615,0.0154,0.3843,0.3675,0.1757,0.056,0.0134,0.3977,0.3667,0.169,0.052,0.012,0.1808,0.3092,0.2644,0.1508,0.0645,1.0523,1.3432,0.8417,1.7642,170.8755,0.3333,109.4912,0.7294,36.89,22.05,24.11,28.0,31.58,31.58,31.58,42.11,57.89,36.84,42.11,57.89,57.89,36.84,42.11,57.89,31.58,52.63,63.16,73.68,36.84,26.32,21.05,52.63,78.95,47.37,100.0,94.74,52.63,10.53,26.32,47.37,73.68,52.63,31.58,26.32,52.63,21.05
6,WALES - CYMRU PREMIER,2025-01-01,15:30,Flint,Newtown,2.65,3.55,2.4,1.23,3.7,1.14,5.25,1.5,2.45,1.43,2.65,0.37735849056603776,0.28169014084507044,0.4166666666666667,0.813,0.2703,0.8772,0.1905,0.6667,0.4082,0.6993,0.3774,0.7465,1.1042,1.3396,1.4792,0.9057,0.6761,0.25,0.9,1.15,-7.125,24.2277,-29.8989,0.1042,0.2535,0.4792,0.1581,Balanced Game,0.8669,1.5507,0.9295,1.3367,-0.987,-0.7119,1.1297,1.188,0.8685,0.9765,2.1168,0.8775,1.5803,0.7418,5.8776,0.1525,3.589,0.1849,23.4509,0.3208,8.3571,0.5164,0.8648,0.0579,0.6414,0.188,1.0227,0.0528,0.9046,0.042,2.9774,1.5284,1.1943,2.763,1.0763,3.9097,0.7533,5.2229,1.7921,2.1665,0.6404,4.4101,1.318,1.883,1.1535,2.8427,2.1993,1.6552,1.0917,2.739,0.5444,7.4383,0.7791,4.7104,1.4237,1.9959,0.5877,3.8635,1.1996,2.4152,1.0044,3.0518,5.6291,1.3376,2.8917,1.9876,6.5552,1.112,3.8601,1.7788,3.4237,1.8912,1.614,2.9825,2.7785,1.7945,2.4693,2.3716,2.8315,1.4908,1.5743,2.9367,2.0267,1.5239,1.8023,2.0278,24.8521,1.0127,17.7907,1.3449,29.0069,0.968,20.4291,1.3354,0.2631,0.0669,0.3107,0.0692,0.6977,0.0291,0.6464,0.024,0.478,0.0521,0.4964,0.056,0.3612,0.0579,0.3355,0.0492,0.3231,0.365,0.2062,0.0776,0.0219,0.4196,0.3644,0.1582,0.0458,0.0099,0.1204,0.2549,0.2698,0.1904,0.1007,0.2059,0.3254,0.2571,0.1354,0.0535,1.0967,0.6025,1.4125,1.1289,126.4351,0.7453,132.2786,0.4475,26.68,26.53,30.05,29.68,36.84,15.79,31.58,47.37,47.37,36.84,42.11,52.63,47.37,36.84,42.11,52.63,63.16,57.89,68.42,63.16,31.58,36.84,52.63,42.11,47.37,57.89,89.47,89.47,26.32,26.32,63.16,57.89,36.84,42.11,26.32,15.79,31.58,26.32
7,WALES - CYMRU PREMIER,2025-01-01,15:30,Haverfordwest,Aberystwyth,1.25,5.3,10.0,1.28,3.3,1.22,3.95,1.77,1.97,2.43,1.5,0.8,0.18867924528301888,0.1,0.7812,0.303,0.8197,0.2532,0.565,0.5076,0.4115,0.6667,0.2358,0.125,4.24,0.53,8.0,1.8868,8.75,4.05,4.7,77.125,63.7186,66.9487,0.875,0.7642,0.47,0.8575,Unbalanced Game,1.3302,0.9654,0.7132,1.7389,0.349,-1.3842,1.1898,1.2627,0.8152,1.33,0.8408,0.9583,2.1994,0.6822,3.0495,0.1671,5.6685,0.1209,3.2981,0.2041,17.1321,0.4391,1.0211,0.0727,0.4915,0.1687,0.6001,0.1513,1.1757,0.0459,1.1707,3.0317,1.2582,2.0331,0.9979,2.9362,0.8188,9.7788,0.2746,6.4042,0.2895,5.6501,0.114,14.7816,2.3491,1.8035,0.6225,5.0202,0.724,3.0667,0.0336,39.6815,0.533,7.9651,0.2833,5.0469,0.0132,61.3636,-0.1491,-5.4621,1.2544,2.0783,2.388,2.4666,2.4487,1.6064,1.4912,2.3584,9.5079,1.1399,0.814,3.6943,0.5395,3.9023,0.3246,6.4686,3.8184,1.6225,1.4892,2.6569,0.802,3.0498,0.7791,3.0062,3.666,1.3699,20.8423,1.382,23.6827,1.0261,18.4932,1.2653,28.722,0.9989,0.2599,0.0569,0.2477,0.1494,0.5111,0.0693,0.6596,0.0838,0.4889,0.038,0.4952,0.0368,0.4632,0.035,0.1935,0.0925,0.3043,0.362,0.2154,0.0854,0.0254,0.4426,0.3608,0.147,0.04,0.0081,0.4314,0.3627,0.1525,0.0427,0.009,0.1109,0.2438,0.2682,0.1966,0.1081,1.4608,0.7702,0.6188,2.1386,164.092,0.3661,54.854,2.4449,24.37,23.74,26.84,39.26,42.11,21.05,21.05,42.11,52.63,26.32,31.58,68.42,52.63,26.32,31.58,68.42,42.11,36.84,63.16,63.16,36.84,36.84,36.84,31.58,63.16,68.42,84.21,94.74,36.84,15.79,36.84,57.89,63.16,42.11,36.84,21.05,47.37,21.05
8,EGYPT - PREMIER LEAGUE,2025-01-01,16:00,Modern Sport,El Ismaily,2.05,2.75,3.75,1.62,2.2,1.57,2.25,2.75,1.4,2.3,1.55,0.48780487804878053,0.36363636363636365,0.26666666666666666,0.6173,0.4545,0.6369,0.4444,0.3636,0.7143,0.4348,0.6452,0.7455,0.5467,1.3415,0.7333,1.8293,1.3636,1.7,0.7,1.0,40.3645,19.29,26.5651,0.4533,0.2545,0.2667,0.2428,Balanced Game,1.0085,1.1374,0.7398,1.4435,-0.0688,-0.5609,0.7707,1.3605,0.7742,0.9213,0.8395,0.8737,1.335,0.8121,2.0689,0.1195,2.7966,0.0865,2.3041,0.2135,5.2121,0.1593,0.6637,0.0655,0.555,0.0622,0.5848,0.0905,0.7656,0.0729,-0.1343,-20.3001,-0.817,-0.8424,-0.5661,-4.0885,-0.4336,-4.7618,-0.3772,-1.1299,-0.5526,-0.8474,-0.5,-0.9428,-0.0833,-24.0168,-0.5952,-2.1917,-0.756,-1.2139,-0.9006,-1.0503,-0.5183,-2.6558,-0.3772,-1.1299,-0.5526,-0.8474,-0.5,-0.9428,-0.2412,-5.5336,0.1671,22.2651,-0.6339,-2.1715,-0.1387,-20.5703,-0.1459,-22.0137,-0.3772,-1.1299,-0.5526,-0.8474,-0.5,-0.9428,0.1798,17.4188,-0.2549,-10.3448,-0.817,-0.8424,-0.4186,-4.3115,-0.2679,-10.2762,5.5592,3.7342,2.0504,5.5944,2.9836,4.2018,2.1724,5.4914,0.2902,0.0496,0.2927,0.0266,0.2708,0.0691,0.347,0.0484,0.4802,0.0273,0.514,0.0247,0.4327,0.0689,0.3206,0.0246,0.4627,0.3566,0.1374,0.0353,0.0068,0.4611,0.357,0.1382,0.0357,0.0069,0.4319,0.3626,0.1522,0.0426,0.0089,0.2632,0.3513,0.2345,0.1044,0.0348,0.9274,0.8023,0.7696,1.2235,157.3478,0.366,141.7512,0.258,13.26,27.0,24.84,35.63,31.58,21.05,31.58,36.84,36.84,42.11,36.84,47.37,36.84,42.11,36.84,47.37,36.84,47.37,63.16,57.89,36.84,42.11,36.84,15.79,63.16,84.21,73.68,89.47,47.37,42.11,26.32,26.32,73.68,73.68,21.05,21.05,26.32,15.79
9,ENGLAND - CHAMPIONSHIP,2025-01-01,16:00,Burnley,Stoke,1.53,4.0,6.0,1.44,2.63,1.3,3.4,2.1,1.73,2.2,1.62,0.6535947712418301,0.25,0.16666666666666666,0.6944,0.3802,0.7692,0.2941,0.4762,0.578,0.4545,0.6173,0.3825,0.255,2.6144,0.6667,3.9216,1.5,4.47,2.47,2.0,65.895,51.0023,45.0,0.745,0.6175,0.3333,0.596,Unbalanced Game,1.1108,1.0531,0.8979,1.4603,-0.6686,-0.662,1.031,1.1322,0.7652,0.9322,1.6996,0.8149,1.4271,0.7857,2.6,0.0727,2.6095,0.1682,4.9208,0.3214,5.1576,0.0447,0.8016,0.1093,0.5487,0.133,0.8016,0.1729,0.8644,0.0423,1.3142,3.0353,1.2914,1.8405,2.3349,1.0857,2.156,2.1636,1.3842,2.3222,0.5,3.7416,0.2658,6.898,1.307,2.2433,0.6141,4.2868,1.4644,2.0386,1.3185,1.5595,2.303,1.997,0.8053,2.6676,0.9211,2.7517,0.2132,7.1637,1.5,1.8178,4.3298,1.9697,4.8721,1.3236,1.9419,2.5347,10.6582,1.1215,3.9211,1.7686,2.7105,2.1018,1.0553,3.385,4.5351,1.5921,1.7785,2.8232,1.6544,1.8604,0.0153,119.9542,3.1697,1.4641,20.049,1.6336,22.8432,1.0644,12.8012,1.7057,27.1954,1.0645,0.2939,0.0507,0.2904,0.0406,0.5404,0.0466,0.5552,0.0571,0.4198,0.0405,0.5573,0.0472,0.4454,0.1069,0.3079,0.0263,0.3567,0.3677,0.1896,0.0651,0.0168,0.4652,0.356,0.1362,0.0347,0.0066,0.1828,0.3106,0.264,0.1495,0.0635,0.24,0.3425,0.2444,0.1163,0.0415,1.015,0.8535,1.015,1.4849,175.9974,0.3717,123.635,0.4468,35.16,30.26,22.63,25.21,31.58,21.05,36.84,36.84,47.37,42.11,36.84,52.63,47.37,42.11,36.84,52.63,52.63,42.11,68.42,57.89,31.58,42.11,42.11,21.05,57.89,78.95,84.21,94.74,26.32,26.32,36.84,42.11,63.16,57.89,21.05,10.53,31.58,26.32
10,ENGLAND - CHAMPIONSHIP,2025-01-01,16:00,Cardiff,Coventry,3.0,3.5,2.2,1.4,2.75,1.29,3.75,1.93,1.93,1.73,2.0,0.3333333333333333,0.2857142857142857,0.45454545454545453,0.7143,0.3636,0.7752,0.2667,0.5181,0.5181,0.578,0.5,0.8571,1.3636,1.1667,1.5909,0.7333,0.6286,0.8,0.5,1.3,-21.8014,14.0362,-33.0239,0.3636,0.1429,0.5909,0.1986,Balanced Game,1.3365,1.1169,1.0343,1.2013,-0.5057,-0.3787,1.035,1.2252,0.9852,1.015,1.5407,0.7609,1.364,0.6935,3.649,0.1271,2.9184,0.1987,5.1214,0.2088,4.2354,0.1609,0.7016,0.1323,0.677,0.1436,0.9122,0.0654,0.8349,0.1078,1.4328,2.4065,2.1,1.4452,1.5417,1.8259,1.5761,1.909,0.5895,3.2195,0.9035,2.4797,0.5658,2.6083,1.4298,1.8977,1.8788,2.168,1.1146,1.879,1.8501,1.7696,1.4869,2.253,0.9158,2.6351,0.5526,2.8878,0.8553,2.1252,1.5877,1.6496,5.8692,1.7206,5.3962,1.1967,4.8901,1.3553,7.1199,1.0427,2.5632,2.2383,2.6842,2.0098,2.3553,1.8258,4.9123,1.4074,2.279,2.298,3.1714,1.3553,1.2011,2.2083,3.626,1.182,22.2605,1.2929,30.1816,0.8949,23.0739,1.168,28.3176,0.8926,0.3268,0.0291,0.3175,0.0425,0.4554,0.063,0.5558,0.056,0.4876,0.0207,0.4898,0.0308,0.3507,0.1238,0.3541,0.0265,0.3552,0.3677,0.1903,0.0656,0.017,0.3734,0.3678,0.1812,0.0595,0.0147,0.2142,0.3301,0.2543,0.1306,0.0503,0.2556,0.3487,0.2378,0.1081,0.0369,1.0699,0.7826,1.4911,1.0984,181.081,0.5082,151.6991,0.3535,29.63,29.68,26.84,31.84,26.32,21.05,47.37,42.11,26.32,31.58,68.42,63.16,26.32,31.58,68.42,63.16,36.84,47.37,73.68,63.16,26.32,36.84,31.58,31.58,68.42,68.42,94.74,94.74,15.79,26.32,42.11,47.37,57.89,52.63,26.32,21.05,42.11,26.32
